Watching PID 13704 page references for every 1 seconds...
Est(s) ;    RSS(kB);    PSS(kB);    Ref(kB)
1.004  ;  227908.00;  226192.00;  210328.00
1.004  ;  228036.00;  226320.00;  210220.00
1.004  ;  228148.00;  226432.00;  210184.00
1.004  ;  228148.00;  226432.00;  210280.00
1.004  ;  228304.00;  226588.00;  211520.00
1.004  ;  228332.00;  226616.00;  210240.00
1.004  ;  228332.00;  226616.00;  210456.00
1.004  ;  228332.00;  226616.00;  211048.00
1.004  ;  228332.00;  226616.00;  210504.00
1.004  ;  228416.00;  226700.00;  212132.00
1.004  ;  228444.00;  226728.00;  211288.00
1.004  ;  228516.00;  226800.00;  210736.00
1.004  ;  228516.00;  226800.00;  210664.00
1.004  ;  228540.00;  226824.00;  211000.00
1.004  ;  228544.00;  226828.00;  211268.00
1.004  ;  228568.00;  226852.00;  211232.00
1.004  ;  228652.00;  226936.00;  211328.00
1.004  ;  228684.00;  226968.00;  211132.00
1.004  ;  228716.00;  227000.00;  211064.00
1.004  ;  228760.00;  227044.00;  211020.00
1.004  ;  228784.00;  227068.00;  210744.00
1.004  ;  228872.00;  227156.00;  210860.00
1.004  ;  228872.00;  227156.00;  210920.00
1.005  ;  228872.00;  227156.00;  210996.00
1.004  ;  228980.00;  227264.00;  211008.00
1.004  ;  229080.00;  227364.00;  211264.00
1.004  ;  229136.00;  227420.00;  211792.00
1.004  ;  229268.00;  227552.00;  211872.00
1.004  ;  229268.00;  227552.00;  208780.00
1.004  ;  229268.00;  227552.00;  211088.00
1.005  ;  229372.00;  227656.00;  212068.00
1.004  ;  229452.00;  227736.00;  211256.00
1.004  ;  229468.00;  227752.00;  211872.00
1.004  ;  229588.00;  227872.00;  211860.00
1.004  ;  229588.00;  227872.00;  211916.00
1.004  ;  229660.00;  227944.00;  211468.00
1.004  ;  229808.00;  228092.00;  212096.00
1.004  ;  229816.00;  228100.00;  211928.00
1.004  ;  229816.00;  228100.00;  211860.00
1.004  ;  229864.00;  228148.00;  212248.00
1.005  ;  229864.00;  228148.00;  211932.00
1.004  ;  229948.00;  228232.00;  211476.00
1.004  ;  230048.00;  228332.00;  211944.00
1.004  ;  230072.00;  228356.00;  211860.00
1.005  ;  230160.00;  228444.00;  212204.00
1.004  ;  230460.00;  228744.00;  212596.00
1.004  ;  230544.00;  228828.00;  212692.00
1.004  ;  230652.00;  228936.00;  212360.00
1.004  ;  230736.00;  229020.00;  212484.00
1.004  ;  230828.00;  229112.00;  212648.00
1.004  ;  230984.00;  229268.00;  212660.00
1.004  ;  231064.00;  229348.00;  212664.00
1.005  ;  231108.00;  229392.00;  211984.00
1.004  ;  231324.00;  229608.00;  212804.00
1.004  ;  231436.00;  229720.00;  213008.00
1.004  ;  231516.00;  229800.00;  212728.00
1.005  ;  231648.00;  229932.00;  212880.00
1.004  ;  231768.00;  230052.00;  213052.00
1.004  ;  231916.00;  230200.00;  213300.00
1.004  ;  231916.00;  230200.00;  212540.00
1.004  ;  231948.00;  230232.00;  213628.00
1.004  ;  232152.00;  230436.00;  213648.00
1.004  ;  232336.00;  230620.00;  213988.00
1.004  ;  232404.00;  230688.00;  213360.00
1.004  ;  232452.00;  230736.00;  213988.00
1.004  ;  232484.00;  230768.00;  213384.00
1.004  ;  232548.00;  230832.00;  212856.00
1.004  ;  232664.00;  230948.00;  213884.00
1.004  ;  232728.00;  231012.00;  213664.00
1.004  ;  232836.00;  231120.00;  213912.00
1.004  ;  232904.00;  231188.00;  213360.00
1.004  ;  232936.00;  231220.00;  213540.00
1.004  ;  232948.00;  231232.00;  213576.00
1.004  ;  232948.00;  231232.00;  213360.00
1.004  ;  232948.00;  231232.00;  213600.00
1.004  ;  233056.00;  231340.00;  213988.00
1.005  ;  233260.00;  231544.00;  213840.00
1.004  ;  233316.00;  231600.00;  213488.00
